artist,track,time,genre
Destiny's Child,Independent Women Part I,3:38,Rock
Santana,"Maria, Maria",4:18,Rock
Savage Garden,I Knew I Loved You,4:07,Rock
Madonna,Music,3:45,Rock
"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock
Janet,Doesn't Really Matter,4:17,Rock
Destiny's Child,Say My Name,4:31,Rock
"Iglesias, Enrique",Be With You,3:36,Latin
Sisqo,Incomplete,3:52,Rock
Lonestar,Amazed,4:25,Country
N'Sync,It's Gonna Be Me,3:10,Rock
"Aguilera, Christina",What A Girl Wants,3:18,Rock
Vertical Horizon,Everything You Want,4:01,Rock
Creed,With Arms Wide Open,3:52,Rock
Aaliyah,Try Again,4:03,Rock
matchbox twenty,Bent,4:12,Rock
"Carey, Mariah",Thank God I Found You,4:14,Rock
"Hill, Faith",Breathe,4:04,Rap
Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock
Dream,He Loves U Not,3:43,Rock
"Braxton, Toni",He Wasn't Man Enough,4:21,Rock
"Anthony, Marc",You Sang To Me,3:50,Latin
98ยก,Give Me Just One Night (Una Noche),3:24,Rock
Destiny's Child,Jumpin' Jumpin',3:48,Rock
3 Doors Down,Kryptonite,3:53,Rock
Sisqo,Thong Song,4:05,Rock
"Aguilera, Christina",I Turn To You,4:00,Rock
"Houston, Whitney",My Love Is Your Love,4:16,Rock
Joe,I Wanna Know,4:57,Rock
"Jordan, Montell",Get It On.. Tonite,4:34,Rap
N'Sync,Bye Bye Bye,3:15,Rock
Eminem,The Real Slim Shady,4:42,Rap
Pink,Most Girls,4:06,Rock
"Mumba, Samantha",Gotta Tell You,3:19,Rock
Blaque,Bring It All To Me,3:46,Pop
"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap
"Gray, Macy",I Try,3:52,Rock
N'Sync,This I Promise You,4:23,Rock
Ruff Endz,No More,3:56,Rock
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock
Nine Days,Absolutely (Story Of A Girl),3:09,Rock
"Dion, Celine",That's The Way It Is,4:03,Rock
Blink-182,All The Small Things,2:52,Rock
Eiffel 65,Blue (Da Ba Dee),3:29,Electronica
"Badu, Erkyah",Bag Lady,5:03,Rock
Pink,There U Go,3:23,Rock
Creed,Higher,5:16,Rock
Nelly,(Hot S**t) Country Grammar,4:17,Rap
Next,Wifey,4:03,Rock
Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz
Sonique,It Feels So Good,3:48,Rock
"Spears, Britney",Oops!.. I Did It Again,3:30,Rock
"Backstreet Boys, The",Shape Of My Heart,3:49,Rock
Everclear,Wonderful,4:30,Rock
Ja Rule,Between Me And You,4:05,Rap
"Rimes, LeAnn",I Need You,3:42,Country
Smash Mouth,Then The Morning Comes,3:04,Rock
Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap
Jagged Edge,Let's Get Married,4:23,Rock
Filter,Take A Picture,4:23,Rock
"Martin, Ricky",She Bangs,4:02,Latin
Mystikal,Shake Ya Ass,4:46,Rap
BBMak,Back Here,3:35,Rock
"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock
Third Eye Blind,Never Let You Go,3:57,Rock
Red Hot Chili Peppers,Otherside,4:13,Rock
Profyle,Liar,3:57,R&B
Barenaked Ladies,Pinch Me,3:46,Rock
Jagged Edge,He Can't Love U,3:30,Rock
504 Boyz,Wobble Wobble,3:35,Rap
Sting,Desert Rose,3:52,Rock
Jay-Z,Big Pimpin',3:55,Rap
Kid Rock,Only God Knows Why,5:27,Rock
Foo Fighters,Learn To Fly,3:55,Rock
"Dixie Chicks, The",Goodbye Earl,4:19,Country
Guy,Dancin',4:08,R&B
Lil Bow Wow,Bounce With Me,3:22,Rap
Westlife,Swear It Again,4:07,Rock
Train,Meet Virginia,3:55,Rock
"Thomas, Carl",I Wish,3:50,Rock
Hanson,This Time Around,4:14,Country
"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop
Ludacris,What's Your Fantasy,4:16,Rap
Lil' Zane,Callin' Me,3:43,Rap
M2M,Don't Say You Love Me,3:41,Pop
SoulDecision,Faded,3:25,Rock
"Brock, Chad",Yes!,3:22,Country
"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin
Vertical Horizon,You're A God,3:45,Rock
Avant,Separated,4:13,Rock
"Rimes, LeAnn",Big Deal,3:03,Country
IMx,Stay The Night,3:37,Rap
Dr. Dre,The Next Episode,2:38,Rap
"Spears, Britney",Lucky,3:23,Rock
Savage Garden,Crash And Burn,4:41,Rock
Kandi,Don't Think I'm Not,3:50,Rock
Sammie,I Like It,4:09,Rock
Goo Goo Dolls,Broadway,3:54,Rock
"Moore, Mandy",I Wanna Be With You,4:12,Pop
Dr. Dre,Forgot About Dre,3:42,Rap
D'Angelo,Untitled (How Does It Feel),7:10,R&B
"Messina, Jo Dee",That's The Way,3:17,Country
Avant,My First Love,4:28,Rock
Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin
Da Brat,What'Chu Like,3:57,Rap
DMX,Party Up (Up In Here),3:45,Rap
"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country
"McGraw, Tim",My Next Thirty Years,3:37,Country
"Tritt, Travis",Best Of Intentions,4:15,Country
Alice Deejay,Better Off Alone,6:50,Electronica
Hoku,Another Dumb Blonde,3:47,Pop
"Houston, Whitney",I Learned From The Best,4:18,Rock
Counting Crows,Hanginaround,4:07,Rock
Mary Mary,Shackles (Praise You),3:12,Rock
"Carey, Mariah",Crybaby,5:19,Rock
"McGraw, Tim",My Best Friend,4:33,Country
Sugar Ray,Falls Apart,4:15,Rock
Madonna,American Pie,4:30,Rock
"Jones, Donell",Where I Wanna Be,6:22,Rock
"Paisley, Brad",We Danced,3:45,Country
Lonestar,What About Now,3:30,Country
"Backstreet Boys, The",The One,3:46,Rock
"Keith, Toby",How Do You Like Me Now?!,3:29,Country
"Strait, George",The Best Day,3:24,Country
"Dixie Chicks, The",Without You,3:32,Country
Musiq,Just Friends (Sunny),4:02,Rap
"McEntire, Reba",What Do You Say,3:26,Country
"Braxton, Toni",Just Be A Man About It,4:10,Rock
"Iglesias, Enrique",Rhythm Divine,7:35,Latin
"Fabian, Lara",I Will Love Again,3:43,Pop
Bon Jovi,It's My Life,3:44,Rock
"Evans, Sara",Born To Fly,5:36,Country
"Chesney, Kenny",I Lost It,3:54,Country
J-Shin,One Night Stand,4:34,R&B
Eve,Love Is Blind,3:51,Rap
Aaliyah,I Don't Wanna,4:15,Rock
"Montgomery, John Michael",The Little Girl,3:52,Country
"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B
"Vassar, Phil",Just Another Day In Paradise,3:54,Country
Ice Cube,You Can Do It,4:20,Rap
"Wills, Mark",Back At One,4:00,Country
Lucy Pearl,Dance Tonight,3:45,R&B
"Jackson, Alan",It Must Be Love,2:53,Country
"Griggs, Andy",She's More,3:19,Country
No Doubt,Simple Kind Of Life,4:11,Rock
"Jean, Wyclef",911,4:00,Rap
Rascal Flatts,Prayin' For Daylight,3:36,Country
Vitamin C,Graduation (Friends Forever),4:23,Rock
"Gilman, Billy",One Voice,4:07,Country
Lonestar,Smile,3:33,Country
"Rogers, Kenny",Buy Me A Rose,3:46,Country
"Lawrence, Tracy",Lessons Learned,2:55,Country
"Strait, George",Go On,3:48,Country
Sisqo,Got To Get It,3:52,Rock
Baha Men,Who Let The Dogs Out,3:17,R&B
"Walker, Clay",The Chain Of Love,5:03,Country
"McBride, Martina",Love's The Only House,5:13,Country
Amber,Sexual (Li Da Di),4:38,Rock
"Tippin, Aaron",Kiss This,2:53,Country
SheDaisy,I Will.. But,3:40,Country
"Raye, Collin",Couldn't Last A Moment,3:40,Country
Black Rob,Whoa!,4:04,Rap
"Jackson, Alan",Pop A Top,3:04,Country
"Black, Clint",Been There,5:28,Country
Common,The Light,3:55,Rap
"Vassar, Phil",Carlene,4:07,Country
"Jackson, Alan",www.memory,2:36,Country
Vitamin C,The Itch,3:30,Rock
"Eastsidaz, The",G'D Up,4:27,Rap
Ideal,Whatever,3:48,R&B
"Thomas, Carl",Emotional,4:31,Rock
Ginuwine,None Of Ur Friends Business,4:12,Rock
"Davidson, Clay",Unconditional,3:56,Country
DMX,What You Want,4:05,Rap
"John, Elton",Someday Out Of The Blue,4:41,Rock
Pearl Jam,Nothing As It Seems,5:20,Rock
Mya,The Best Of Me,4:12,Rock
"Heatherly, Eric",Flowers On The Wall,3:16,Country
Eminem,Stan,5:26,Rap
"McEntire, Reba",I'll Be,4:23,Country
"Lopez, Jennifer",Feelin' Good,4:28,Latin
"Urban, Keith",Your Everything,4:10,Country
TLC,Dear Lie,4:36,Rock
"Gill, Vince",Feels Like Love,4:13,Country
"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock
Bloodhound Gang,The Bad Touch,4:20,R&B
"Williams, Robbie",Angels,3:56,Rock
"Messina, Jo Dee",Because You Love Me,3:50,Country
"Keith, Toby",Country Comes To Town,3:39,Country
Beenie Man,Girls Dem Sugar,4:17,Reggae
"Hill, Faith",Let's Make Love,4:11,Rap
Kelis,Caught Out There,4:09,R&B
Jay-Z,Anything,3:41,Rap
3 Doors Down,Loser,4:24,Rock
Brooks & Dunn,You'll Always Be Loved By Me,2:58,Country
"Chesney, Kenny",What I Need To Do,4:05,Country
"Stone, Angie",No More Rain (In This Cloud),4:42,R&B
Da Brat,That's What I'm Looking For,3:44,Rap
SheDaisy,This Woman Needs,3:20,Country
Papa Roach,Last Resort,3:19,Rock
"Adams, Yolanda",Open My Heart,5:30,Gospel
Shyne,Bad Boyz,4:22,Rap
R.E.M.,The Great Beyond,4:10,Rock
"Diffie, Joe",It's Always Somethin',2:55,Country
"McGraw, Tim",Some Things Never Change,3:56,Country
"Henley, Don",Taking You Home,4:08,Rock
Eminem,The Way I Am,4:40,Rap
Nas,You Owe Me,3:51,R&B
Sister Hazel,Change Your Mind,4:02,Rock
Puff Daddy,Best Friend,5:33,Rap
"McBride, Martina",There You Are,3:26,Country
Usher,Pop Ya Collar,3:36,Rock
Lil' Kim,No Matter What They Say,4:12,Rap
LFO,I Don't Wanna Kiss You Goodnight,5:00,Rock
SheDaisy,Deck The Halls,3:46,Country
Splender,I Think God Can Explain,3:55,R&B
"Simpson, Jessica",Where You Are,3:51,Rock
M2M,Mirror Mirror,3:19,Pop
Kumbia Kings,U Don't Love Me,3:50,R&B
Joe,Treat Her Like A Lady,4:12,Rock
"Blige, Mary J.",Deep Inside,5:26,Rock
"Price, Kelly",You Should've Told Me,3:12,Rock
Changing Faces,That Other Woman,4:00,Rock
"Wright, Chely",It Was,3:51,R&B
Limp Bizkit,Rollin',4:04,Rock
Hot Boys,I Need A Hot Girl,4:16,Rap
Jay-Z,Do It Again (Put Ya Hands Up),3:47,Rap
"Adkins, Trace",More,3:05,Country
"Dixie Chicks, The",Cold Day In July,5:12,Country
"Price, Kelly",As We Lay,6:20,Rock
DMX,What's My Name,3:50,Rap
"Martin, Ricky",Private Emotion,4:02,Latin
Nine Days,If I Am,4:18,Rock
"Blige, Mary J.",Give Me You,5:00,Rock
Red Hot Chili Peppers,Californication,5:21,Rock
Third Eye Blind,Deep Inside Of You,4:10,Rock
"Brooks, Garth",Do What You Gotta Do,2:56,Country
"Offspring, The",Original Prankster,3:42,Rock
"Anthony, Marc",My Baby You,3:59,Latin
"Houston, Whitney","Same Script, Different Cast",4:45,Rock
D'Angelo,Left & Right,4:35,R&B
"Kravitz, Lenny",I Belong To You,4:17,Rock
"Loveless, Patty",That's The Kind Of Mood I'm In,3:27,Country
Q-Tip,Breathe And Stop,4:06,Rock
"Rimes, LeAnn",Can't Fight The Moonlight,3:33,Country
Lil Wayne,Tha Block Is Hot,4:13,Rap
2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap
"Wallflowers, The",Sleepwalker,3:29,Rock
Drama,"Left, Right, Left",3:37,Rap
Limp Bizkit,N 2 Gether Now,3:55,Rock
Lox,"Ryde or Die, Chick",3:56,Rap
Ying Yang Twins,Whistle While You Twurk,4:19,Rap
"Walker, Clay","Live, Laugh, Love",4:06,Country
Metallica,No Leaf Clover (Live),5:43,Rock
Yankee Grey,Another Nine Minutes,3:10,Country
"Bega, Lou",Tricky Tricky ,3:23,Rock
Big Punisher,It's So Hard,3:25,Rap
"Worley, Darryl",When You Need My Love,3:35,Country
Lil' Kim,How Many Licks?,3:50,Rap
"Clark, Terri",A Little Gasoline,3:07,Country
"Brock, Chad",A Country Boy Can Survive,3:54,Country
"Cagle, Chris",My Love Goes On And On,3:02,Country
"Byrd, Tracy",Put Your Hand In Mine,4:30,Country
Metallica,I Disappear,4:26,Rock
Jay-Z,Hey Papi,3:40,Rap
Fatboy Slim,The Rockafeller Skank,4:00,Electronica
"Levert, Gerald",Mr. Too Damn Good,4:06,R&B
"McKnight, Brian",Stay Or Let It Go,4:32,Rock
"Allan, Gary",Smoke Rings In The Dark,4:18,Country
Ginuwine,The Best Man I Can Be,4:06,Rock
Before Dark,Monica,4:04,Rock
"Estefan, Gloria",No Me Dejes De Querer,3:25,Rock
Stone Temple Pilots,Sour Girl,4:16,Rock
Montgomery Gentry,Daddy Won't Sell The Farm,4:18,Country
"Cyrus, Billy Ray",You Won't Be Lonely Now,3:45,Country
Clark Family Experience,Meanwhile Back At The Ranch,2:56,Country
"Thomas, Carl",Summer Rain,4:57,Rock
"Yearwood, Trisha",Real Live Woman,3:55,Country
Trick Daddy,Shut Up,4:17,Rap
"Moore, Chante",Straight Up,3:40,Rock
Cam'ron,What Means The World To You,4:38,Rap
Juvenile,U Understand,3:51,Rap
"Hollister, Dave",Can't Stay,6:17,Rock
Tamia,Can't Go For That,3:38,Rock
LFO,West Side Story,3:27,Rock
"Paisley, Brad",Me Neither,3:19,Country
"Carter, Torrey",Take That,3:43,Rock
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B
Madison Avenue,Don't Call Me Baby,3:44,Electronica
Eve,Got It All,3:48,Rap
Limp Bizkit,Re-Arranged,4:08,Rock
"Spencer, Tracie",Still In My Heart,4:11,Rock
Nu Flavor,3 Little Words,3:54,R&B
Tamar,If You Don't Wanna Love Me,4:02,Rock
"Levert, Gerald",Baby U Are,4:10,R&B
"Hart, Beth",L.A. Song,3:47,Country
"Diffie, Joe",The Quittin' Kind,3:23,Country
Funkmaster Flex,Do You,4:14,Rap
"Price, Kelly",Love Sets You Free,3:46,Rock
En Vogue,Riddle,5:10,Rock
"Herndon, Ty",No Mercy,4:43,Country
Anastacia,I'm Outta Love,4:01,Pop
Trina,Pull Over,2:58,Rap
Lil' Mo,Ta Da,4:17,Rap
A*Teens,Dancing Queen,3:44,Pop
"Sheist, Shade",Where I Wanna Be,4:16,Rap
De La Soul,All Good?,5:02,Rap
"Larrieux, Amel",Get Up,4:02,R&B
"Braxton, Toni",Spanish Guitar,4:24,Rock
Tuesday,I Know,4:06,Rock
LL Cool J,Imagine That,4:00,Rap
Master P,Souljas,3:33,Rap
Ghostface Killah,Cherchez LaGhost,3:04,R&B
"Smith, Will",Freakin' It,3:58,Rap
Zombie Nation,Kernkraft 400,3:30,Rock
"Eastsidaz, The",Got Beef,3:58,Rap
Fragma,Toca's Miracle,3:22,R&B
